Código,Turma,Nome,Horário,Número de alunos,Tipo,Bloco,
1204115,4,ADMINISTRAÇÃO DE EMPRESAS,24T45,57,Sala,CI,
1204203,1,ADMINISTRACAO DE SISTEMAS DE INFORMACAO,4T2345,32,Sala,CI,
5102009,1,ALGEBRA LINEAR COMPUTACIONAL,24M45,30,Sala,CI,
GDCOC0076,1,ANÁLISE E PROJETO DE ALGORITMOS,35T45,70,Sala,CI,
GDCOC0095,1,ANÁLISE MULTIVARIADA E APRENDIZAGEM NÃO SUPERVISIONADO,3T23,57,Sala,CI,
GDCOC0095,1,ANÁLISE MULTIVARIADA E APRENDIZAGEM NÃO SUPERVISIONADO,5T23,32,Sala,CI,
GDCOC0094,2,APRENDIZADO PROFUNDO,35T45,29,Sala,CI,
GDCOC0092,1,APRENDIZAGEM DE MÁQUINA,35T23,57,Laboratório,T,
GDSCO0035,1,ARQUITETURA DE COMPUTADORES,35M45,70,Sala,CI,
GDSCO0036,1,ARQUITETURA DE COMPUTADORES I,24T23,70,Sala,SB,
GDSCO0037,1,ARQUITETURA DE COMPUTADORES II,24M45,29,Sala,CI,
5101001,1,AVALIAÇÃO E DESEMPENHO DE SISTEMAS OPERACIONAIS,24T23,30,Sala,CI,
1107180,1,BANCO DE DADOS I,5M23,57,Laboratório,T,
1107180,1,BANCO DE DADOS I,3M23,70,Sala,SB,
5102006,1,CÁLCULO  DAS PROBABILIDADES I,35M45,29,Sala,CI,
1103177,14,CÁLCULO DIFERENCIAL E INTEGRAL I,24M23,57,Sala,CI,
1103177,15,CÁLCULO DIFERENCIAL E INTEGRAL I,24M23,69,Sala,LIEPE,
1103177,16,CÁLCULO DIFERENCIAL E INTEGRAL I,24M45,55,Sala,CI,
1103178,15,CÁLCULO DIFERENCIAL E INTEGRAL II,24T45,65,Sala,LIEPE,
1103178,14,CÁLCULO DIFERENCIAL E INTEGRAL II,24T45,70,Sala,CI,
1103232,10,CÁLCULO DIFERENCIAL E INTEGRAL III,24T45,70,Sala,LIEPE,
GDCOC0072,1,CALCULO NUMERICO,35M45,70,Sala,LIEPE,
1103118,15,CÁLCULO VETORIAL E GEOMETRIA ANALÍTICA,35T23,69,Sala,LIEPE,
1103118,16,CÁLCULO VETORIAL E GEOMETRIA ANALÍTICA,35T23,55,Sala,CI,
1103118,14,CÁLCULO VETORIAL E GEOMETRIA ANALÍTICA,35M23,70,Sala,CI,
GDSCO0039,1,CIRCUITOS LÓGICOS,246T23,51,Laboratório,CI,
GDSCO0021,1,CIRCUITOS LOGICOS I,24M45,51,Laboratório,CI,
GDSCO0022,1,CIRCUITOS LOGICOS II,24T23,36,Lab Hardware,LIEPE,
GDINF0106,1,COMPUTADORES E SOCIEDADE,24M45,65,Sala,LIEPE,
1107120,1 ,COMPUTADORES E SOCIEDADE,5M23,29,Sala,CI,
GDSCO0040,1,CONCEPÇÃO ESTRUTURADA DE CIRCUITOS INTEGRADOS,24M23,36,Lab Hardware,LIEPE,
GDSCO0043,1,CONSTRUÇÃO DE COMPILADORES I,24M45,29,Sala,CI,
GDSCO0023,2,ELETRICIDADE E CIRCUITOS PARA COMPUTAÇÃO I,35T45,27,Sala,CI,
GDSCO0023,1,ELETRICIDADE E CIRCUITOS PARA COMPUTAÇÃO I,35M23,27,Sala,CI,
GDSCO0024,1,ELETRICIDADE E CIRCUITOS PARA COMPUTAÇÃO II,35M23,55,Sala,CI,
GDSCO0026,1,ELETRONICA APLICADA I,35T23,30,Sala,CI,
GDSCO0027,1,ELETRONICA APLICADA II,24M45,27,Sala,CI,
1107128,1,ENGENHARIA DE SOFTWARE,24M23,29,Sala,CI,
1107128,2,ENGENHARIA DE SOFTWARE,24T45,70,Sala,SB,
GDCOC0105,1,EQUAÇÕES DIFERENCIAIS ORDINÁRIAS,35M45,30,Sala,CI,
1107184,1,ESPECIFICACAO DE REQUISITOS DE SOFTWARE,24M23,65,Sala,LIEPE,
1107186,2,ESTRUTURA DE DADOS,24T23,69,Sala,LIEPE,
1107186,3,ESTRUTURA DE DADOS,35M23,70,Sala,LIEPE,
1107186,1,ESTRUTURA DE DADOS,35M23,60,Sala,CI,
1101171,1,FÍSICA APLICADA À COMPUTAÇÃO I,24M23,70,Sala,LIEPE,
1101172,1,FÍSICA APLICADA À COMPUTAÇÃO II,24T23,55,Sala,CI,
GDSCO0046,3,FÍSICA EXPERIMENTAL PARA COMPUTAÇÃO,5T23,57,Sala,CI,
GDCOC0107,1,INFERÊNCIA ESTATÍSTICA,24M23,32,Sala,CI,
