id,nome,turma,horario,alunos,preferencia
5347, CÁLCULO DIFERENCIAL E INTEGRAL I ,14,24M23,50,Sala
5355, CÁLCULO DIFERENCIAL E INTEGRAL I ,15,24M23,45,Sala
5397, INFERÊNCIA ESTATÍSTICA ,1,24M23,21,Sala
5394, SINAIS E SISTEMAS DINÂMICOS ,1,24M23,43,Sala
5361, ESPECIFICACAO DE REQUISITOS DE SOFTWARE ,1,24M23,57,Sala
5396, ENGENHARIA DE SOFTWARE ,1,24M23,19,Sala
5419, FÍSICA APLICADA À COMPUTAÇÃO I ,1,24M23,90,Sala
5439, OTIMIZAÇÃO NÃO,1,24M23,25,Sala
5445, CONCEPÇÃO ESTRUTURADA DE CIRCUITOS INTEGRADOS ,1,24M23,9,Laboratório
5462, SÉRIES TEMPORAIS ,1,24M23,9,Sala
5456, INTRODUÇÃO À COMPUTAÇÃO GRÁFICA ,1,24M23,60,Sala
