id,nome,turma,horario,alunos,preferencia
5350, INTRODUCAO A INTELIGENCIA ARTIFICIAL ,2,24T23,60,Sala
5353, ESTRUTURA DE DADOS ,2,24T23,48,Sala
5362, FÍSICA APLICADA À COMPUTAÇÃO II ,1,24T23,32,Sala
5360, MATEMÁTICA DISCRETA ,1,24T23,40,Sala
5392, LABORATORIO DE LINGUAGEM DE PROGRAMAÇÃO I ,1,24T23,49,Laboratório
5383, TEORIA DAS PROBABILIDADES ,1,24T23,27,Sala
5406, LABORATÓRIO DE INTRODUÇÃO A PROGRAMAÇÃO ,1,24T23,57,Laboratório
5412, AVALIAÇÃO E DESEMPENHO DE SISTEMAS OPERACIONAIS ,1,24T23,26,Sala
5424, PESQUISA OPERACIONAL ,1,24T23,55,Sala
5440, CIRCUITOS LOGICOS II ,1,24T23,36,Laboratório
5450, METÓDOS NUMÉRICOS I ,1,24T23,25,Sala
5461, ARQUITETURA DE COMPUTADORES I ,1,24T23,43,Sala
