id,nome,turma,horario,alunos,preferencia
5346,MODELOS PROBABILÍSTICOS PARA A COMPUTAÇÃO,1,35M23,43,Sala
5352, REDES DE COMPUTADORES I ,1,35M23,56,Sala
5398, ELETRICIDADE E CIRCUITOS PARA COMPUTAÇÃO II ,1,35M23,48,Sala
5368, VISUALIZAÇÃO DE DADOS ,1,35M23,25,Laboratório
5380, SÉRIES E EQUAÇÕES DIFERENCIAIS ORDINÁRIAS ,8,35M23,50,Sala
5410,SISTEMAS EMBARCADOS APLICADOS,1,35M23,11,Sala
5420, ESTRUTURA DE DADOS ,3,35M23,60,Sala
5425, ELETRICIDADE E CIRCUITOS PARA COMPUTAÇÃO I ,1,35M23,30,Sala
5428, ESTRUTURA DE DADOS ,1,35M23,52,Sala
5435, CÁLCULO VETORIAL E GEOMETRIA ANALÍTICA ,14,35M23,45,Sala
5447, LINGUAGEM DE PROGRAMAÇÃO I ,1,35M23,47,Laboratório
5451, REDES SEM FIO ,1,35M23,24,Sala
