id,nome,turma,horario,alunos,preferencia
5354, CÁLCULO VETORIAL E GEOMETRIA ANALÍTICA ,15,35T23,53,Sala
5382, CÁLCULO VETORIAL E GEOMETRIA ANALÍTICA ,16,35T23,50,Sala
5372, SISTEMAS OPERACIONAIS I ,1,35T23,48,Sala
5363, PROGRAMAÇÃO ESTRUTURADA ,1,35T23,32,Laboratório
5365, SISTEMAS EMBARCADOS I ,1,35T23,7,Sala
5405, APRENDIZAGEM DE MÁQUINA ,1,35T23,28,Sala
5411, ELETRONICA APLICADA I ,1,35T23,28,Sala
5416, TOP ESPECIAIS EM ENG DE SOFTWARE ,1,35T23,29,Laboratório
5426, INTERAÇÃO HOMEM MÁQUINA ,1,35T23,58,Sala
5432, INTRODUÇÃO À MICROELETRÔNICA ,1,35T23,21,Sala
5442, ORDENACAO E RECUPERACAO DE DADOS ,1,35T23,51,Laboratório
5449, ROBOTICA ,2,35T23,21,Sala
5455, LÓGICA APLICADA À COMPUTAÇÃO ,2,35T23,70,Sala
