id,nome,turma,horario,alunos,preferencia
5341,PESQUISA OPERACIONAL,1,6T456 6N1,3,Sala
5342, FÍSICA EXPERIMENTAL PARA COMPUTAÇÃO ,3,5T23,40,Sala
5343, METODOLOGIA DO TRABALHO CIENTIFICO ,2,3T456,57,Sala
5344, SISTEMA DE INFORMAÇÃO E DECISÃO ,2,24M45,18,Sala
5345, ADMINISTRAÇÃO DE EMPRESAS ,4,5M1  24T45,23,Sala
5346,MODELOS PROBABILÍSTICOS PARA A COMPUTAÇÃO,1,35M23,43,Sala
5347, CÁLCULO DIFERENCIAL E INTEGRAL I ,14,24M23,50,Sala
5348, INTRODUÇÃO À ÁLGEBRA LINEAR ,12,35M45,60,Sala
5349,TOPICOS ESPEC EM COMPUTACAO / EMPREENDEDORISMO,1,6M2345,30,Sala
5350, INTRODUCAO A INTELIGENCIA ARTIFICIAL ,2,24T23,60,Sala
5351, ANÁLISE MULTIVARIADA E APRENDIZAGEM NÃO SUPERVISIONADO ,1,3T23,7,Sala
5352, REDES DE COMPUTADORES I ,1,35M23,56,Sala
5353, ESTRUTURA DE DADOS ,2,24T23,48,Sala
5354, CÁLCULO VETORIAL E GEOMETRIA ANALÍTICA ,15,35T23,53,Sala
5355, CÁLCULO DIFERENCIAL E INTEGRAL I ,15,24M23,45,Sala
5356, INTRODUÇÃO À ÁLGEBRA LINEAR ,13,35T45,65,Sala
5357, INTRODUCAO AO COMPUTADOR ,1,35M45,55,Sala
5358, LINGUAGEM DE PROGRAMAÇÃO II ,2,24M45,60,Sala
5359, ANÁLISE MULTIVARIADA E APRENDIZAGEM NÃO SUPERVISIONADO ,1,5T23,7,Sala
5373, PESQUISA APLICADA À CIÊNCIA DE DADOS ,1,3T234,21,Sala
5377, INTRODUCAO A INTELIGENCIA ARTIFICIAL ,1,35M45,34,Sala
5385,INTRODUÇÃO À FILOSOFIA,5,36M23,10,Sala
5389, ADMINISTRACAO DE SISTEMAS DE INFORMACAO ,1,4T2345,15,Sala
5397, INFERÊNCIA ESTATÍSTICA ,1,24M23,21,Sala
5362, FÍSICA APLICADA À COMPUTAÇÃO II ,1,24T23,32,Sala
5367, TEORIA DA COMPUTAÇÃO ,1,35M45,55,Sala
5375, CÁLCULO DIFERENCIAL E INTEGRAL I ,16,24M45,56,Sala
5382, CÁLCULO VETORIAL E GEOMETRIA ANALÍTICA ,16,35T23,50,Sala
5384, INTROD À ENGENHARIA DE COMPUTAÇÃO ,1,24T45,53,Sala
5386, METODOLOGIA DO TRABALHO CIENTIFICO ,1,6M345,42,Sala
5387,ESTRUTURA DE DADOS E COMPLEXIDADE DE ALGORITMOS,1,6T23,11,Sala
5394, SINAIS E SISTEMAS DINÂMICOS ,1,24M23,43,Sala
5398, ELETRICIDADE E CIRCUITOS PARA COMPUTAÇÃO II ,1,35M23,48,Sala
5360, MATEMÁTICA DISCRETA ,1,24T23,40,Sala
5361, ESPECIFICACAO DE REQUISITOS DE SOFTWARE ,1,24M23,57,Sala
5372, SISTEMAS OPERACIONAIS I ,1,35T23,48,Sala
5374, INTRODUÇÃO À TEORIA DA INFORMAÇÃO ,1,35M45,59,Sala
5379, CÁLCULO DIFERENCIAL E INTEGRAL II ,15,24T45,65,Sala
5390, COMPUTADORES E SOCIEDADE ,1,24M45,53,Sala
5363, PROGRAMAÇÃO ESTRUTURADA ,1,35T23,32,Laboratório
5364,APRENDIZAGEM DE MÁQUINA,1,24T56,12,Laboratório
5368, VISUALIZAÇÃO DE DADOS ,1,35M23,25,Laboratório
5376, PROCESSAMENTO DE LINGUAGEM NATURAL ,2,35M45,21,Laboratório
5381, TEORIA DOS GRAFOS APLICADA ,1,24M45,19,Laboratório
5392, LABORATORIO DE LINGUAGEM DE PROGRAMAÇÃO I ,1,24T23,49,Laboratório
5365, SISTEMAS EMBARCADOS I ,1,35T23,7,Sala
5366, CONSTRUÇÃO DE COMPILADORES I ,1,24M45,16,Sala
5383, TEORIA DAS PROBABILIDADES ,1,24T23,27,Sala
5391, APRENDIZADO PROFUNDO ,2,35T45,10,Sala
5393, CÁLCULO  DAS PROBABILIDADES I ,1,35M45,13,Sala
5395, COMPUTADORES E SOCIEDADE ,1,5M23,29,Sala
5396, ENGENHARIA DE SOFTWARE ,1,24M23,19,Sala
5370, PARADIGMAS DE LING DE PROGRAMAÇÃO ,1,35M45,57,Sala
5378, INTRODUÇÃO A INTELIGÊNCIA ARTIFICIAL ,2,24M45,35,Sala
5380, SÉRIES E EQUAÇÕES DIFERENCIAIS ORDINÁRIAS ,8,35M23,50,Sala
5369, INTRODUÇÃO À FILOSOFIA ,6,36M23,10,Sala
5371, SISTEMAS E CONTROLE DE AUTOMAÇÃO ,1,35M45,16,Sala
5388, ELETRICIDADE E CIRCUITOS PARA COMPUTAÇÃO I ,2,35T45,30,Sala
5399, INTRODUCAO AO COMPUTADOR ,2,35M45,50,Sala
5400, INTRODUÇÃO A PROGRAMAÇÃO ,6,2M45,45,Laboratório
5401, LINGUAGEM DE PROGRAMAÇÃO II ,1,4M45,60,Sala
5402, INTRODUÇÃO A PROGRAMAÇÃO ,5,3M23,60,Laboratório
5403, METODOS DE PROJETO DE SOFTWARE ,1,35T45,55,Laboratório
5404, PESQUISA APLICADA A COMPUTACAO ,3,6M345,43,Sala
5405, APRENDIZAGEM DE MÁQUINA ,1,35T23,28,Sala
5406, LABORATÓRIO DE INTRODUÇÃO A PROGRAMAÇÃO ,1,24T23,57,Laboratório
5407, BANCO DE DADOS I ,1,5M23,66,Sala
5408, ALGEBRA LINEAR COMPUTACIONAL ,1,24M45,19,Sala
5409,ESTRUTURA DE DADOS E COMPLEXIDADE DE ALGORITMOS,1,4M23,11,Sala
5410,SISTEMAS EMBARCADOS APLICADOS,1,35M23,11,Sala
5411, ELETRONICA APLICADA I ,1,35T23,28,Sala
5412, AVALIAÇÃO E DESEMPENHO DE SISTEMAS OPERACIONAIS ,1,24T23,26,Sala
5413,TÓPICOS ESPECIAIS I,1,35M45,6,Laboratório
5414, INTRODUÇÃO À CIÊNCIA DE DADOS ,1,24M45,38,Laboratório
5415, PROGRAMAÇÃO ORIENTADA A OBJETOS ,1,35M45,35,Laboratório
5416, TOP ESPECIAIS EM ENG DE SOFTWARE ,1,35T23,29,Laboratório
5417, CÁLCULO DIFERENCIAL E INTEGRAL III ,10,24T45,59,Sala
5418, LINGUAGENS FORMAIS E AUTÔMATOS ,1,35T45,38,Sala
5419, FÍSICA APLICADA À COMPUTAÇÃO I ,1,24M23,90,Sala
5420, ESTRUTURA DE DADOS ,3,35M23,60,Sala
5421, CALCULO NUMERICO ,1,35M45,43,Sala
5422, INTRODUÇÃO AO PROCESSAMENTO DIGITAL DE IMAGENS ,1,24M45,60,Sala
5423, ELETRONICA APLICADA II ,1,24M45,24,Sala
5425, ELETRICIDADE E CIRCUITOS PARA COMPUTAÇÃO I ,1,35M23,30,Sala
5426, INTERAÇÃO HOMEM MÁQUINA ,1,35T23,58,Sala
5427,SEMINÁRIOS,1,6M45,16,Sala
5428, ESTRUTURA DE DADOS ,1,35M23,52,Sala
5429, METODOLOGIA DO TRABALHO CIENTIFICO ,3,2T234,41,Sala
5424, PESQUISA OPERACIONAL ,1,24T23,55,Sala
5430, ARQUITETURA DE COMPUTADORES ,1,35M45,42,Sala
5431, PESQUISA APLICADA A COMPUTACAO ,1,6M345,50,Sala
5432, INTRODUÇÃO À MICROELETRÔNICA ,1,35T23,21,Sala
5433, INTRODUÇÃO A PROGRAMAÇÃO ,6,4M45,45,Laboratório
5434, CÁLCULO DIFERENCIAL E INTEGRAL II ,14,24T45,65,Sala
5435, CÁLCULO VETORIAL E GEOMETRIA ANALÍTICA ,14,35M23,45,Sala
5436, TÓPICOS ESPECIAIS EM INTERAÇÃO HOMEM,1,6T2345,20,Sala
5437, ANÁLISE E PROJETO DE ALGORITMOS ,1,35T45,70,Sala
5438, LINGUAGEM DE PROGRAMAÇÃO II ,1,2M45,60,Sala
5439, OTIMIZAÇÃO NÃO,1,24M23,25,Sala
5440, CIRCUITOS LOGICOS II ,1,24T23,36,Laboratório
5444, MICROCONTROLADORES ,1,35M45,12,Laboratório
5445, CONCEPÇÃO ESTRUTURADA DE CIRCUITOS INTEGRADOS ,1,24M23,9,Laboratório
5441, CIRCUITOS LÓGICOS ,1,246T23,51,Laboratório
5442, ORDENACAO E RECUPERACAO DE DADOS ,1,35T23,51,Laboratório
5446, CIRCUITOS LOGICOS I ,1,24M45,45,Laboratório
5447, LINGUAGEM DE PROGRAMAÇÃO I ,1,35M23,47,Laboratório
5443, ARQUITETURA DE COMPUTADORES II ,1,24M45,27,Sala
5448, MÉTODOS MATEMÁTICOS I ,1,35M45,9,Sala
5449, ROBOTICA ,2,35T23,21,Sala
5450, METÓDOS NUMÉRICOS I ,1,24T23,25,Sala
5451, REDES SEM FIO ,1,35M23,24,Sala
5452, INTRODUÇÃO À MECÂNICA DOS FLUÍDOS ,1,4M23,28,Sala
5459, MECÂNICA PARA ENGENHARIA DA COMPUTAÇÃO ,1,24M45,32,Sala
5462, SÉRIES TEMPORAIS ,1,24M23,9,Sala
5463, EQUAÇÕES DIFERENCIAIS ORDINÁRIAS ,1,35M45,26,Sala
5453, INTRODUÇÃO A PROGRAMAÇÃO PARA ENGENHARIA DE COMPUTAÇÃO ,1,24M45,58,Sala
5454, BANCO DE DADOS I ,1,3M23,66,Sala
