id,nome,turma,horario,alunos,preferencia
5341,PESQUISA OPERACIONAL,1,6T456 6N1,3,Sala
5342, FÍSICA EXPERIMENTAL PARA COMPUTAÇÃO ,3,5T23,40,Sala
5343, METODOLOGIA DO TRABALHO CIENTIFICO ,2,3T456,57,Sala
5345, ADMINISTRAÇÃO DE EMPRESAS ,4,5M1  24T45,23,Sala
5349,TOPICOS ESPEC EM COMPUTACAO / EMPREENDEDORISMO,1,6M2345,30,Sala
5351, ANÁLISE MULTIVARIADA E APRENDIZAGEM NÃO SUPERVISIONADO ,1,3T23,7,Sala
5359, ANÁLISE MULTIVARIADA E APRENDIZAGEM NÃO SUPERVISIONADO ,1,5T23,7,Sala
5373, PESQUISA APLICADA À CIÊNCIA DE DADOS ,1,3T234,21,Sala
5385,INTRODUÇÃO À FILOSOFIA,5,36M23,10,Sala
5389, ADMINISTRACAO DE SISTEMAS DE INFORMACAO ,1,4T2345,15,Sala
5386, METODOLOGIA DO TRABALHO CIENTIFICO ,1,6M345,42,Sala
5387,ESTRUTURA DE DADOS E COMPLEXIDADE DE ALGORITMOS,1,6T23,11,Sala
5364,APRENDIZAGEM DE MÁQUINA,1,24T56,12,Laboratório
5395, COMPUTADORES E SOCIEDADE ,1,5M23,29,Sala
5369, INTRODUÇÃO À FILOSOFIA ,6,36M23,10,Sala
5400, INTRODUÇÃO A PROGRAMAÇÃO ,6,2M45,45,Laboratório
5401, LINGUAGEM DE PROGRAMAÇÃO II ,1,4M45,60,Sala
5402, INTRODUÇÃO A PROGRAMAÇÃO ,5,3M23,60,Laboratório
5404, PESQUISA APLICADA A COMPUTACAO ,3,6M345,43,Sala
5407, BANCO DE DADOS I ,1,5M23,66,Sala
5409,ESTRUTURA DE DADOS E COMPLEXIDADE DE ALGORITMOS,1,4M23,11,Sala
5427,SEMINÁRIOS,1,6M45,16,Sala
5429, METODOLOGIA DO TRABALHO CIENTIFICO ,3,2T234,41,Sala
5431, PESQUISA APLICADA A COMPUTACAO ,1,6M345,50,Sala
5433, INTRODUÇÃO A PROGRAMAÇÃO ,6,4M45,45,Laboratório
5436, TÓPICOS ESPECIAIS EM INTERAÇÃO HOMEM,1,6T2345,20,Sala
5438, LINGUAGEM DE PROGRAMAÇÃO II ,1,2M45,60,Sala
5441, CIRCUITOS LÓGICOS ,1,246T23,51,Laboratório
5452, INTRODUÇÃO À MECÂNICA DOS FLUÍDOS ,1,4M23,28,Sala
5454, BANCO DE DADOS I ,1,3M23,66,Sala
5457, INTRODUÇÃO A PROGRAMAÇÃO ,5,5M23,60,Laboratório
5460, MATERIAIS PARA MICRO E NANO TECNOLOGIA ,1,6M2345,55,Sala
